battle_id,battle_date,venue_id,battle_format,trainer_home_id,trainer_away_id,home_team_size,away_team_size,trainer_winner_id,trainer_loser_id,winning_side,battle_turns,winning_margin,title_match_flag,weather_condition,attendance
B001738,2025-09-16,V049,doubles,T0047,T0007,2,2,T0007,T0047,away,15,449.79,0,Overcast,614
B001739,2024-10-02,V040,doubles,T0108,T0135,2,2,T0108,T0135,home,12,650.52,0,Smog,238
B001740,2025-11-04,V015,doubles,T0082,T0171,2,2,T0171,T0082,away,13,82.09,0,Glittering,147
B001741,2025-05-26,V044,singles,T0109,T0178,1,1,T0109,T0178,home,6,176.99,0,Odd Aura,1529
B001742,2024-11-28,V016,triples,T0059,T0067,3,3,T0059,T0067,home,9,258.89,0,Clear,189
B001743,2025-07-29,V022,doubles,T0164,T0008,2,2,T0008,T0164,away,5,119.66,0,Windy,1058
B001744,2025-02-27,V042,doubles,T0032,T0050,2,2,T0050,T0032,away,16,81.79,0,Smog,770
B001745,2024-11-30,V002,doubles,T0097,T0067,2,2,T0097,T0067,home,6,16.66,0,Breezy,967
B001746,2024-01-01,V013,doubles,T0149,T0010,2,2,T0149,T0010,home,15,251.85,0,Glittering,1793
B001747,2024-04-10,V002,doubles,T0083,T0085,2,2,T0083,T0085,home,15,23.79,0,Breezy,1198
B001748,2024-10-07,V005,doubles,T0178,T0103,2,2,T0178,T0103,home,16,71.36,1,Moonless,1234
B001749,2024-05-26,V017,doubles,T0100,T0174,2,2,T0174,T0100,away,12,290.73,0,Clear,633
B001750,2025-11-26,V033,doubles,T0063,T0174,2,2,T0063,T0174,home,11,235.07,0,Dusty,1968
B001751,2024-09-20,V015,singles,T0027,T0050,1,1,T0050,T0027,away,11,252.32,0,Glittering,185
B001752,2024-07-14,V047,triples,T0075,T0004,3,3,T0075,T0004,home,11,347.57,0,Sandstorm,244
B001753,2026-02-05,V003,doubles,T0131,T0099,2,2,T0099,T0131,away,9,514.04,0,Breezy,456
B001754,2026-03-18,V033,doubles,T0079,T0093,2,2,T0093,T0079,away,13,30.34,0,Dusty,1879
B001755,2025-09-07,V011,doubles,T0109,T0143,2,2,T0143,T0109,away,10,148.55,0,Thunderstorm,178
B001756,2025-05-31,V052,doubles,T0093,T0042,2,2,T0093,T0042,home,14,290.87,0,Rain,756
B001757,2024-07-14,V013,doubles,T0162,T0135,2,2,T0162,T0135,home,9,54.58,0,Glittering,1903
B001758,2025-02-15,V001,singles,T0020,T0119,1,1,T0119,T0020,away,9,64.35,0,Breezy,681
B001759,2024-04-19,V046,triples,T0170,T0065,3,3,T0170,T0065,home,21,217.46,1,Sandstorm,469
B001760,2024-12-22,V042,doubles,T0010,T0152,2,2,T0010,T0152,home,13,297.19,0,Smog,758
B001761,2024-06-21,V013,singles,T0133,T0014,1,1,T0014,T0133,away,14,269.22,0,Glittering,1872
B001762,2024-07-04,V024,singles,T0157,T0145,1,1,T0145,T0157,away,8,158.35,0,Windy,715
B001763,2026-02-28,V039,singles,T0008,T0142,1,1,T0142,T0008,away,8,46.77,0,Clear,784
B001764,2026-01-14,V001,doubles,T0147,T0073,2,2,T0147,T0073,home,16,110.99,0,Breezy,856
B001765,2025-11-25,V009,triples,T0088,T0082,3,2,T0088,T0082,home,15,839.1,0,High Winds,2063
B001766,2024-02-16,V012,singles,T0148,T0167,1,1,T0167,T0148,away,8,155.34,0,Thunderstorm,1037
B001767,2025-12-07,V048,singles,T0119,T0068,1,1,T0119,T0068,home,9,298.81,0,Sandstorm,1916
B001768,2025-07-11,V052,doubles,T0029,T0072,2,2,T0029,T0072,home,21,332.68,1,Rain,719
B001769,2025-11-14,V003,doubles,T0096,T0136,2,2,T0096,T0136,home,24,388.49,1,Breezy,521
B001770,2024-11-26,V006,triples,T0107,T0116,3,3,T0116,T0107,away,11,308.03,0,Moonless,537
B001771,2025-02-23,V049,doubles,T0088,T0024,2,2,T0024,T0088,away,9,402.25,0,Overcast,784
B001772,2024-02-27,V037,triples,T0171,T0030,3,3,T0030,T0171,away,14,536.49,0,Clear,884
B001773,2024-02-10,V018,singles,T0061,T0119,1,1,T0061,T0119,home,4,29.64,0,Clear,1468
B001774,2024-04-16,V015,triples,T0018,T0111,3,3,T0111,T0018,away,18,93.05,0,Glittering,178
B001775,2025-09-09,V011,doubles,T0007,T0051,2,3,T0051,T0007,away,19,912.51,1,Thunderstorm,136
B001776,2025-12-12,V038,singles,T0116,T0082,1,1,T0082,T0116,away,9,126.32,0,Clear,881
B001777,2024-05-10,V037,singles,T0106,T0165,1,1,T0106,T0165,home,10,114.0,0,Clear,1162
B001778,2026-02-17,V021,singles,T0178,T0070,1,1,T0178,T0070,home,8,221.67,0,Harsh Sun,235
B001779,2025-11-10,V054,triples,T0151,T0165,3,3,T0151,T0165,home,18,65.45,0,Rain,781
B001780,2025-02-17,V023,doubles,T0120,T0072,2,2,T0120,T0072,home,21,306.22,1,Windy,1122
B001781,2026-01-29,V001,doubles,T0147,T0088,2,2,T0088,T0147,away,11,146.69,0,Breezy,815
B001782,2024-06-12,V037,singles,T0171,T0179,1,1,T0171,T0179,home,10,124.44,0,Clear,1168
B001783,2025-02-04,V021,doubles,T0025,T0059,2,2,T0059,T0025,away,14,0.66,0,Harsh Sun,182
B001784,2024-09-13,V024,singles,T0047,T0010,1,1,T0010,T0047,away,13,64.24,0,Windy,1008
B001785,2026-03-20,V041,singles,T0092,T0128,1,1,T0128,T0092,away,6,166.63,0,Smog,563
B001786,2024-02-08,V001,singles,T0166,T0151,1,1,T0166,T0151,home,9,103.18,0,Breezy,588
B001787,2025-04-06,V035,doubles,T0049,T0141,2,2,T0141,T0049,away,18,65.26,0,Hail,327
B001788,2025-06-18,V002,triples,T0165,T0161,3,3,T0161,T0165,away,12,77.52,0,Breezy,843
B001789,2025-07-23,V045,singles,T0080,T0067,1,1,T0080,T0067,home,10,209.67,0,Odd Aura,580
B001790,2025-09-14,V004,doubles,T0036,T0024,2,2,T0036,T0024,home,15,585.5,0,Moonless,724
B001791,2026-03-26,V053,doubles,T0064,T0005,2,2,T0064,T0005,home,14,120.33,0,Rain,413
B001792,2024-01-05,V030,singles,T0033,T0093,1,1,T0033,T0093,home,8,70.93,0,Sunny,790
B001793,2025-08-27,V052,doubles,T0165,T0152,2,2,T0165,T0152,home,7,79.81,0,Rain,645
B001794,2025-09-21,V043,singles,T0036,T0080,1,1,T0036,T0080,home,13,211.21,0,Odd Aura,924
B001795,2026-03-05,V030,singles,T0141,T0084,1,1,T0141,T0084,home,9,184.85,0,Sunny,996
B001796,2025-12-20,V009,doubles,T0006,T0038,2,2,T0038,T0006,away,13,231.24,0,High Winds,1884
B001797,2024-05-28,V041,doubles,T0175,T0131,2,2,T0131,T0175,away,12,223.56,0,Smog,483
B001798,2025-03-12,V040,singles,T0030,T0092,1,1,T0030,T0092,home,7,226.71,0,Smog,238
B001799,2025-06-05,V030,singles,T0034,T0171,1,1,T0034,T0171,home,10,88.8,0,Sunny,958
B001800,2024-12-16,V012,doubles,T0064,T0027,2,2,T0027,T0064,away,11,47.06,0,Thunderstorm,1111
B001801,2026-02-26,V013,doubles,T0133,T0161,2,2,T0133,T0161,home,11,122.46,0,Glittering,1914
B001802,2025-06-17,V033,singles,T0084,T0108,1,1,T0108,T0084,away,12,72.53,0,Dusty,1692
B001803,2025-08-13,V018,singles,T0127,T0032,1,1,T0032,T0127,away,4,301.7,0,Clear,1561
B001804,2025-03-05,V003,doubles,T0013,T0150,2,2,T0150,T0013,away,10,6.44,0,Breezy,504
B001805,2024-04-11,V009,doubles,T0014,T0094,2,2,T0014,T0094,home,11,73.98,0,High Winds,2093
B001806,2025-10-25,V021,doubles,T0074,T0136,2,2,T0136,T0074,away,20,78.88,1,Harsh Sun,265
B001807,2025-01-07,V020,singles,T0068,T0120,1,1,T0068,T0120,home,8,41.65,0,Harsh Sun,1837
B001808,2025-01-15,V004,doubles,T0167,T0123,2,2,T0167,T0123,home,15,24.44,0,Moonless,569
B001809,2024-02-10,V019,singles,T0084,T0169,1,1,T0084,T0169,home,11,159.19,0,Harsh Sun,890
B001810,2025-10-12,V044,triples,T0172,T0022,3,3,T0022,T0172,away,24,120.72,1,Odd Aura,1348
B001811,2025-12-26,V019,singles,T0069,T0009,1,1,T0009,T0069,away,11,75.92,0,Harsh Sun,1090
B001812,2026-03-21,V047,singles,T0177,T0095,1,1,T0095,T0177,away,10,97.13,0,Sandstorm,283
B001813,2025-05-17,V018,doubles,T0051,T0024,2,2,T0051,T0024,home,21,63.16,1,Clear,1581
B001814,2025-08-23,V035,doubles,T0004,T0155,2,2,T0155,T0004,away,13,299.31,0,Hail,417
B001815,2024-12-07,V020,singles,T0078,T0057,1,1,T0057,T0078,away,12,193.67,0,Harsh Sun,1583
B001816,2025-04-05,V012,doubles,T0030,T0040,2,2,T0030,T0040,home,13,3.66,0,Thunderstorm,1000
B001817,2025-04-30,V024,doubles,T0121,T0142,2,2,T0142,T0121,away,13,475.55,0,Windy,831
B001818,2025-10-13,V009,singles,T0026,T0178,1,1,T0178,T0026,away,11,104.09,0,High Winds,2255
B001819,2024-10-05,V049,singles,T0067,T0085,1,1,T0085,T0067,away,7,32.5,0,Overcast,716
B001820,2026-01-16,V030,doubles,T0032,T0127,2,2,T0127,T0032,away,15,22.54,0,Sunny,858
B001821,2024-07-04,V015,doubles,T0065,T0031,2,2,T0065,T0031,home,7,129.83,0,Glittering,159
B001822,2024-10-26,V012,singles,T0030,T0003,1,1,T0003,T0030,away,14,107.12,0,Thunderstorm,969
B001823,2025-12-04,V002,singles,T0159,T0049,1,1,T0159,T0049,home,9,20.09,0,Breezy,797
B001824,2025-10-05,V007,singles,T0115,T0029,1,1,T0029,T0115,away,9,102.98,0,High Winds,1359
B001825,2025-09-19,V034,triples,T0126,T0130,3,3,T0126,T0130,home,17,254.24,0,Hail,1130
B001826,2024-09-23,V043,singles,T0032,T0066,1,1,T0032,T0066,home,9,235.37,0,Odd Aura,973
B001827,2025-05-26,V040,singles,T0056,T0029,1,1,T0056,T0029,home,12,20.16,0,Smog,265
B001828,2025-07-09,V032,doubles,T0044,T0072,2,2,T0044,T0072,home,13,136.78,0,Dusty,1233
B001829,2024-06-29,V011,doubles,T0102,T0029,2,2,T0102,T0029,home,13,395.17,0,Thunderstorm,139
B001830,2024-05-05,V015,singles,T0122,T0015,1,1,T0122,T0015,home,6,121.12,0,Glittering,150
B001831,2026-01-20,V039,doubles,T0112,T0156,2,2,T0156,T0112,away,24,51.76,1,Clear,618
B001832,2025-10-10,V008,singles,T0015,T0024,1,1,T0015,T0024,home,13,148.09,0,High Winds,289
B001833,2024-06-20,V054,doubles,T0090,T0161,2,2,T0161,T0090,away,12,43.22,0,Rain,518
B001834,2024-07-11,V022,singles,T0125,T0122,1,1,T0125,T0122,home,5,219.9,0,Windy,837
B001835,2025-02-20,V021,singles,T0037,T0028,1,1,T0028,T0037,away,10,151.5,0,Harsh Sun,194
B001836,2025-01-05,V028,singles,T0126,T0038,1,1,T0126,T0038,home,8,119.33,0,Sunny,745
B001837,2025-08-18,V020,singles,T0105,T0030,1,1,T0030,T0105,away,10,142.88,0,Harsh Sun,1792
B001838,2024-07-19,V034,triples,T0011,T0032,3,3,T0032,T0011,away,10,615.66,0,Hail,1700
B001839,2025-11-24,V045,doubles,T0112,T0080,2,2,T0080,T0112,away,11,96.52,0,Odd Aura,523
B001840,2024-11-04,V041,doubles,T0163,T0154,2,2,T0163,T0154,home,14,414.33,0,Smog,603
B001841,2025-06-28,V035,doubles,T0005,T0178,2,2,T0005,T0178,home,15,336.69,0,Hail,369
B001842,2024-09-21,V049,doubles,T0170,T0026,2,2,T0170,T0026,home,12,619.3,0,Overcast,761
B001843,2024-02-01,V025,singles,T0149,T0025,1,1,T0025,T0149,away,13,28.56,0,Fog,931
B001844,2024-08-13,V011,doubles,T0131,T0173,2,2,T0131,T0173,home,17,93.64,0,Thunderstorm,171
B001845,2025-05-10,V024,triples,T0158,T0124,3,3,T0124,T0158,away,18,201.45,0,Windy,685
B001846,2025-08-11,V011,singles,T0050,T0036,1,1,T0036,T0050,away,16,32.54,0,Thunderstorm,139
B001847,2025-10-03,V001,doubles,T0069,T0123,2,2,T0123,T0069,away,18,248.35,1,Breezy,748
B001848,2025-11-17,V040,singles,T0126,T0180,1,1,T0180,T0126,away,12,115.71,0,Smog,252
B001849,2025-01-04,V013,doubles,T0066,T0017,2,2,T0066,T0017,home,14,77.37,0,Glittering,1545
B001850,2024-05-09,V004,doubles,T0139,T0141,2,2,T0139,T0141,home,21,334.62,1,Moonless,648
B001851,2025-10-27,V044,singles,T0067,T0008,1,1,T0067,T0008,home,12,53.43,0,Odd Aura,1514
B001852,2024-06-02,V009,doubles,T0074,T0056,2,2,T0056,T0074,away,12,111.04,0,High Winds,1714
B001853,2025-01-25,V052,doubles,T0063,T0108,2,2,T0063,T0108,home,16,186.58,0,Rain,729
B001854,2026-03-15,V013,singles,T0133,T0167,1,1,T0167,T0133,away,5,175.7,0,Glittering,1819
B001855,2025-09-27,V050,doubles,T0082,T0003,2,2,T0003,T0082,away,20,147.35,1,Overcast,183
B001856,2025-01-07,V006,singles,T0048,T0058,1,1,T0058,T0048,away,12,111.3,0,Moonless,484
B001857,2025-04-03,V036,singles,T0159,T0178,1,1,T0159,T0178,home,12,10.57,0,Hail,721
B001858,2024-11-26,V050,triples,T0100,T0018,3,3,T0100,T0018,home,22,191.81,1,Overcast,170
B001859,2025-12-11,V037,triples,T0016,T0173,3,3,T0016,T0173,home,19,420.13,0,Clear,1054
B001860,2024-07-29,V027,singles,T0060,T0082,1,1,T0060,T0082,home,11,184.89,0,Fog,727
B001861,2025-07-13,V007,singles,T0166,T0034,1,1,T0166,T0034,home,7,251.84,0,High Winds,1388
B001862,2024-12-28,V005,doubles,T0082,T0150,2,2,T0082,T0150,home,14,90.95,0,Moonless,1144
B001863,2024-09-22,V029,singles,T0108,T0145,1,1,T0108,T0145,home,12,169.32,0,Sunny,499
B001864,2025-05-29,V019,triples,T0017,T0105,3,3,T0105,T0017,away,10,346.73,0,Harsh Sun,1099
B001865,2026-01-18,V048,doubles,T0054,T0044,2,1,T0054,T0044,home,11,580.24,0,Sandstorm,2158
B001866,2024-05-01,V023,doubles,T0125,T0111,2,2,T0111,T0125,away,15,144.36,0,Windy,1367
B001867,2025-06-21,V045,doubles,T0063,T0070,2,2,T0063,T0070,home,12,193.63,0,Odd Aura,507
B001868,2025-03-07,V013,doubles,T0002,T0119,2,2,T0002,T0119,home,7,265.65,0,Glittering,1569
B001869,2025-12-20,V050,doubles,T0012,T0018,2,2,T0018,T0012,away,8,181.85,0,Overcast,198
B001870,2025-06-21,V038,doubles,T0141,T0094,2,2,T0141,T0094,home,10,318.4,0,Clear,676
B001871,2025-08-10,V020,triples,T0123,T0090,3,3,T0123,T0090,home,12,184.24,0,Harsh Sun,1723
B001872,2025-07-13,V007,singles,T0074,T0135,1,1,T0074,T0135,home,14,35.77,0,High Winds,1343
B001873,2025-08-05,V038,doubles,T0042,T0121,2,2,T0121,T0042,away,12,421.71,0,Clear,817
B001874,2025-02-11,V020,triples,T0088,T0074,3,3,T0088,T0074,home,23,570.71,0,Harsh Sun,1802
B001875,2025-10-01,V041,doubles,T0145,T0076,2,2,T0145,T0076,home,9,240.04,0,Smog,554
B001876,2025-02-21,V020,singles,T0016,T0037,1,2,T0037,T0016,away,11,502.08,0,Harsh Sun,1565
B001877,2025-02-09,V020,triples,T0143,T0102,3,3,T0102,T0143,away,15,310.9,0,Harsh Sun,1790
B001878,2024-03-08,V033,singles,T0105,T0112,1,1,T0112,T0105,away,9,114.07,0,Dusty,1945
B001879,2024-02-23,V015,doubles,T0137,T0031,2,2,T0137,T0031,home,9,61.23,0,Glittering,206
B001880,2024-02-23,V020,singles,T0122,T0050,1,1,T0050,T0122,away,10,269.62,0,Harsh Sun,1658
B001881,2025-12-29,V053,doubles,T0002,T0025,2,2,T0025,T0002,away,15,148.89,0,Rain,409
B001882,2025-05-08,V022,singles,T0072,T0059,1,1,T0059,T0072,away,6,259.76,0,Windy,1121
B001883,2025-01-10,V044,triples,T0012,T0061,3,3,T0012,T0061,home,11,284.17,0,Odd Aura,1493
B001884,2025-12-26,V001,doubles,T0147,T0010,2,2,T0147,T0010,home,12,99.79,0,Breezy,853
B001885,2025-07-30,V021,triples,T0112,T0056,3,3,T0112,T0056,home,17,126.43,1,Harsh Sun,249
B001886,2024-06-13,V043,doubles,T0065,T0103,2,2,T0065,T0103,home,4,52.48,0,Odd Aura,1268
B001887,2024-09-22,V031,doubles,T0101,T0129,2,2,T0129,T0101,away,12,165.09,0,Dusty,438
B001888,2025-06-12,V008,doubles,T0166,T0054,2,2,T0166,T0054,home,19,51.39,0,High Winds,249
B001889,2025-05-02,V011,singles,T0045,T0055,1,1,T0055,T0045,away,8,36.69,0,Thunderstorm,161
B001890,2026-01-22,V032,doubles,T0050,T0094,2,2,T0094,T0050,away,13,58.99,0,Dusty,1337
B001891,2024-11-21,V008,doubles,T0111,T0145,2,2,T0111,T0145,home,9,296.44,0,High Winds,298
B001892,2024-04-10,V031,doubles,T0093,T0024,2,2,T0093,T0024,home,12,131.4,0,Dusty,374
B001893,2024-08-06,V038,triples,T0109,T0142,3,3,T0109,T0142,home,23,32.23,0,Clear,778
B001894,2025-12-12,V051,singles,T0117,T0177,1,1,T0117,T0177,home,8,41.68,0,Overcast,545
B001895,2024-05-24,V002,triples,T0106,T0064,3,3,T0064,T0106,away,12,126.73,0,Breezy,1002
B001896,2024-04-08,V003,singles,T0077,T0018,1,1,T0077,T0018,home,9,43.22,0,Breezy,630
B001897,2024-04-18,V033,triples,T0078,T0154,3,3,T0154,T0078,away,11,98.65,0,Dusty,1701
B001898,2024-02-14,V011,doubles,T0123,T0101,2,2,T0101,T0123,away,11,375.63,0,Thunderstorm,128
B001899,2024-06-08,V028,singles,T0149,T0142,1,1,T0142,T0149,away,12,23.61,0,Sunny,959
B001900,2024-06-05,V052,doubles,T0150,T0165,2,2,T0165,T0150,away,15,1.53,0,Rain,693
B001901,2026-01-09,V053,doubles,T0057,T0087,2,2,T0087,T0057,away,20,119.86,1,Rain,383
B001902,2026-03-04,V020,triples,T0129,T0095,3,3,T0095,T0129,away,15,310.86,0,Harsh Sun,1623
B001903,2024-01-17,V012,doubles,T0030,T0095,2,2,T0030,T0095,home,19,15.06,1,Thunderstorm,878
B001904,2024-08-08,V013,doubles,T0106,T0135,2,2,T0135,T0106,away,13,103.83,0,Glittering,1310
B001905,2025-01-20,V033,doubles,T0091,T0161,2,2,T0161,T0091,away,16,256.02,0,Dusty,1713
B001906,2026-03-21,V006,singles,T0018,T0086,1,1,T0018,T0086,home,9,19.34,0,Moonless,454
B001907,2025-03-08,V035,singles,T0017,T0115,1,1,T0115,T0017,away,10,14.68,0,Hail,326
B001908,2025-10-02,V037,singles,T0124,T0104,1,1,T0124,T0104,home,14,107.21,0,Clear,1076
B001909,2025-02-03,V050,singles,T0176,T0072,1,1,T0176,T0072,home,6,139.41,0,Overcast,206
B001910,2024-05-18,V054,singles,T0048,T0147,1,2,T0147,T0048,away,10,646.86,0,Rain,671
B001911,2025-07-01,V003,doubles,T0056,T0179,2,2,T0056,T0179,home,11,17.8,0,Breezy,545
B001912,2025-02-07,V014,singles,T0008,T0158,1,1,T0008,T0158,home,14,231.08,0,Glittering,1941
B001913,2025-06-07,V026,singles,T0150,T0066,1,1,T0066,T0150,away,8,43.66,0,Fog,889
B001914,2024-04-18,V018,doubles,T0060,T0153,2,2,T0060,T0153,home,13,62.27,0,Clear,1530
B001915,2025-11-25,V031,doubles,T0101,T0106,2,2,T0101,T0106,home,15,317.49,0,Dusty,385
B001916,2026-01-14,V014,singles,T0021,T0100,1,1,T0021,T0100,home,8,125.22,0,Glittering,1447
B001917,2025-06-21,V024,doubles,T0113,T0142,2,1,T0113,T0142,home,12,707.83,0,Windy,883
B001918,2026-02-20,V054,triples,T0093,T0048,3,3,T0093,T0048,home,14,231.69,0,Rain,540
B001919,2025-08-07,V030,triples,T0028,T0090,3,3,T0028,T0090,home,19,523.33,0,Sunny,813
B001920,2024-08-04,V038,doubles,T0054,T0008,2,2,T0054,T0008,home,13,39.24,0,Clear,1158
B001921,2024-08-29,V038,triples,T0130,T0014,3,3,T0130,T0014,home,16,733.68,0,Clear,907
B001922,2025-03-20,V012,singles,T0084,T0080,1,1,T0080,T0084,away,7,100.95,0,Thunderstorm,1083
B001923,2025-06-22,V051,singles,T0073,T0180,1,2,T0180,T0073,away,11,450.68,0,Overcast,488
B001924,2025-06-02,V011,doubles,T0149,T0145,2,2,T0145,T0149,away,11,292.08,0,Thunderstorm,141
B001925,2024-02-22,V047,doubles,T0051,T0002,2,2,T0002,T0051,away,11,608.35,0,Sandstorm,354
B001926,2024-01-07,V030,singles,T0044,T0067,1,1,T0044,T0067,home,8,51.36,0,Sunny,860
B001927,2024-10-06,V024,singles,T0156,T0073,1,1,T0156,T0073,home,6,15.47,0,Windy,694
B001928,2024-05-03,V029,doubles,T0092,T0159,2,2,T0159,T0092,away,11,524.21,0,Sunny,530
B001929,2025-11-27,V052,doubles,T0007,T0065,2,2,T0065,T0007,away,14,114.6,0,Rain,603
B001930,2024-12-18,V051,doubles,T0034,T0088,2,2,T0034,T0088,home,11,151.71,0,Overcast,532
B001931,2024-07-17,V029,doubles,T0153,T0104,2,2,T0104,T0153,away,15,33.09,1,Sunny,462
B001932,2024-01-17,V007,doubles,T0071,T0014,2,2,T0014,T0071,away,13,150.13,0,High Winds,1466
B001933,2026-02-12,V030,singles,T0026,T0178,1,1,T0178,T0026,away,8,207.51,0,Sunny,691
B001934,2024-01-01,V007,triples,T0084,T0168,3,3,T0084,T0168,home,8,269.46,0,High Winds,1347
B001935,2024-09-08,V032,triples,T0012,T0155,3,2,T0012,T0155,home,18,492.89,0,Dusty,1602
B001936,2025-04-18,V043,doubles,T0153,T0148,2,2,T0148,T0153,away,14,82.49,0,Odd Aura,1125
B001937,2025-04-17,V002,singles,T0108,T0151,1,1,T0151,T0108,away,4,339.28,0,Breezy,1253
B001938,2024-03-14,V020,doubles,T0056,T0109,2,2,T0056,T0109,home,6,317.18,0,Harsh Sun,1493
B001939,2025-02-02,V031,singles,T0035,T0005,1,1,T0035,T0005,home,9,14.52,0,Dusty,437
B001940,2024-04-17,V038,doubles,T0041,T0093,2,2,T0041,T0093,home,15,264.82,0,Clear,608
B001941,2024-09-24,V030,singles,T0034,T0046,1,1,T0034,T0046,home,12,175.41,0,Sunny,732
B001942,2026-02-15,V024,singles,T0090,T0126,1,1,T0126,T0090,away,15,26.16,0,Windy,938
B001943,2024-12-24,V019,doubles,T0116,T0093,2,2,T0093,T0116,away,11,46.32,0,Harsh Sun,1401
B001944,2024-04-19,V052,doubles,T0179,T0061,2,2,T0179,T0061,home,10,66.62,0,Rain,714
B001945,2024-07-18,V005,doubles,T0145,T0157,2,2,T0145,T0157,home,17,16.96,1,Moonless,1133
B001946,2025-12-27,V027,doubles,T0110,T0172,2,2,T0110,T0172,home,15,26.46,1,Fog,683
B001947,2024-09-24,V029,doubles,T0108,T0071,2,2,T0108,T0071,home,13,197.51,0,Sunny,545
B001948,2024-11-30,V031,doubles,T0140,T0067,2,2,T0067,T0140,away,22,196.05,1,Dusty,403
B001949,2025-03-28,V046,singles,T0057,T0131,1,1,T0131,T0057,away,10,254.01,0,Sandstorm,576
B001950,2025-07-31,V024,singles,T0047,T0136,1,1,T0047,T0136,home,10,90.58,0,Windy,1068
B001951,2025-01-24,V008,doubles,T0061,T0140,2,2,T0061,T0140,home,10,81.74,0,High Winds,308
B001952,2024-11-05,V013,singles,T0037,T0145,1,1,T0145,T0037,away,10,157.24,0,Glittering,1699
B001953,2026-03-30,V037,doubles,T0067,T0065,2,2,T0065,T0067,away,13,485.76,0,Clear,1126
B001954,2026-03-26,V051,triples,T0094,T0174,3,3,T0094,T0174,home,19,299.57,0,Overcast,455
B001955,2024-07-09,V006,singles,T0116,T0054,1,1,T0054,T0116,away,15,282.62,0,Moonless,404
B001956,2025-08-09,V040,doubles,T0077,T0005,2,2,T0077,T0005,home,10,30.4,0,Smog,194
B001957,2025-07-13,V001,singles,T0034,T0138,1,1,T0034,T0138,home,9,173.57,0,Breezy,682
B001958,2025-01-26,V009,triples,T0153,T0097,3,2,T0153,T0097,home,13,412.44,0,High Winds,1844
B001959,2026-02-13,V039,doubles,T0170,T0099,2,2,T0170,T0099,home,17,192.2,0,Clear,776
B001960,2025-02-18,V045,triples,T0032,T0081,3,3,T0032,T0081,home,13,180.26,0,Odd Aura,591
B001961,2025-04-06,V050,doubles,T0134,T0133,2,2,T0133,T0134,away,12,44.36,0,Overcast,164
B001962,2024-02-05,V028,doubles,T0136,T0065,2,2,T0065,T0136,away,11,307.63,0,Sunny,1006
B001963,2025-08-17,V001,doubles,T0170,T0054,2,2,T0054,T0170,away,8,210.51,0,Breezy,624
B001964,2024-01-09,V005,triples,T0128,T0176,3,3,T0128,T0176,home,20,128.72,0,Moonless,1172
B001965,2024-01-04,V031,singles,T0064,T0152,1,1,T0152,T0064,away,9,37.76,0,Dusty,362
B001966,2024-07-07,V019,triples,T0031,T0119,3,2,T0031,T0119,home,24,424.04,1,Harsh Sun,507
B001967,2024-07-29,V020,doubles,T0177,T0097,2,2,T0177,T0097,home,14,123.09,0,Harsh Sun,1661
B001968,2025-09-16,V016,doubles,T0019,T0116,2,2,T0116,T0019,away,10,563.54,0,Clear,158
B001969,2025-11-07,V006,singles,T0004,T0054,1,1,T0054,T0004,away,7,257.11,0,Moonless,282
B001970,2024-12-31,V035,doubles,T0119,T0039,2,2,T0119,T0039,home,14,88.17,0,Hail,344
B001971,2025-11-20,V027,triples,T0113,T0003,3,3,T0003,T0113,away,12,40.25,0,Fog,820
B001972,2024-05-02,V041,doubles,T0114,T0112,2,2,T0112,T0114,away,12,288.81,0,Smog,606
B001973,2024-08-29,V037,singles,T0166,T0145,1,1,T0166,T0145,home,10,350.33,0,Clear,1115
B001974,2025-05-02,V026,doubles,T0150,T0017,2,2,T0150,T0017,home,12,44.21,0,Fog,376
B001975,2024-03-10,V013,doubles,T0004,T0018,2,2,T0004,T0018,home,16,40.26,0,Glittering,1606
B001976,2025-11-04,V022,singles,T0118,T0037,1,1,T0118,T0037,home,17,160.43,0,Windy,1116
B001977,2026-01-09,V041,singles,T0095,T0125,1,2,T0125,T0095,away,6,265.48,0,Smog,463
B001978,2024-10-01,V048,singles,T0119,T0133,1,1,T0133,T0119,away,12,23.09,0,Sandstorm,2204
B001979,2024-09-26,V028,doubles,T0133,T0072,2,3,T0072,T0133,away,12,0.12,0,Sunny,625
B001980,2025-12-21,V034,singles,T0050,T0163,1,1,T0050,T0163,home,13,193.31,0,Hail,1544
B001981,2025-10-14,V051,doubles,T0044,T0118,2,2,T0044,T0118,home,14,81.93,0,Overcast,445
B001982,2024-09-13,V007,singles,T0144,T0038,1,1,T0038,T0144,away,6,57.11,0,High Winds,984
B001983,2024-04-14,V002,singles,T0122,T0072,1,1,T0072,T0122,away,10,14.26,0,Breezy,706
B001984,2025-11-24,V023,singles,T0112,T0092,1,1,T0112,T0092,home,4,73.51,0,Windy,1172
B001985,2025-04-09,V023,singles,T0103,T0060,1,1,T0103,T0060,home,11,214.23,0,Windy,1242
B001986,2026-03-22,V048,singles,T0151,T0129,1,1,T0151,T0129,home,12,5.6,0,Sandstorm,1859
B001987,2025-12-31,V030,doubles,T0004,T0044,2,2,T0044,T0004,away,14,260.62,0,Sunny,759
B001988,2024-05-14,V046,triples,T0116,T0160,3,3,T0116,T0160,home,12,222.01,0,Sandstorm,460
B001989,2024-11-27,V002,triples,T0162,T0004,3,3,T0162,T0004,home,15,450.17,0,Breezy,1424
